subject activity TimeBodyAccMean()-X TimeBodyAccMean()-Y TimeBodyAccMean()-Z TimeBodyAcc-std()-X TimeBodyAcc-std()-Y TimeBodyAcc-std()-Z TimeGravityAccMean()-X TimeGravityAccMean()-Y TimeGravityAccMean()-Z TimeGravityAcc-std()-X TimeGravityAcc-std()-Y TimeGravityAcc-std()-Z TimeBodyAccJerkMean()-X TimeBodyAccJerkMean()-Y TimeBodyAccJerkMean()-Z TimeBodyAccJerk-std()-X TimeBodyAccJerk-std()-Y TimeBodyAccJerk-std()-Z TimeBodyGyroMean()-X TimeBodyGyroMean()-Y TimeBodyGyroMean()-Z TimeBodyGyro-std()-X TimeBodyGyro-std()-Y TimeBodyGyro-std()-Z TimeBodyGyroJerkMean()-X TimeBodyGyroJerkMean()-Y TimeBodyGyroJerkMean()-Z TimeBodyGyroJerk-std()-X TimeBodyGyroJerk-std()-Y TimeBodyGyroJerk-std()-Z TimeBodyAccMagMean() TimeBodyAccMag-std() TimeGravityAccMagMean() TimeGravityAccMag-std() TimeBodyAccJerk_MagnitudeMean() TimeBodyAccJerk_Magnitude-std() TimeBodyfreqMean() TimeBodyfreq-std() TimeBodyGyroJerk_MagnitudeMean() TimeBodyGyroJerk_Magnitude-std() FrequencyBodyAccMean()-X FrequencyBodyAccMean()-Y FrequencyBodyAccMean()-Z FrequencyBodyAcc-std()-X FrequencyBodyAcc-std()-Y FrequencyBodyAcc-std()-Z FrequencyBodyAccMeanFreq()-X FrequencyBodyAccMeanFreq()-Y FrequencyBodyAccMeanFreq()-Z FrequencyBodyAccJerkMean()-X FrequencyBodyAccJerkMean()-Y FrequencyBodyAccJerkMean()-Z FrequencyBodyAccJerk-std()-X FrequencyBodyAccJerk-std()-Y FrequencyBodyAccJerk-std()-Z FrequencyBodyAccJerkMeanFreq()-X FrequencyBodyAccJerkMeanFreq()-Y FrequencyBodyAccJerkMeanFreq()-Z FrequencyBodyGyroMean()-X FrequencyBodyGyroMean()-Y FrequencyBodyGyroMean()-Z FrequencyBodyGyro-std()-X FrequencyBodyGyro-std()-Y FrequencyBodyGyro-std()-Z FrequencyBodyGyroMeanFreq()-X FrequencyBodyGyroMeanFreq()-Y FrequencyBodyGyroMeanFreq()-Z FrequencyBodyAccMagMean() FrequencyBodyAccMag-std() FrequencyBodyAccMagMeanFreq() FrequencyBodyBodyAccJerk_MagnitudeMean() FrequencyBodyBodyAccJerk_Magnitude-std() FrequencyBodyBodyAccJerk_MagnitudeMeanFreq() FrequencyBodyBodyfreqMean() FrequencyBodyBodyfreq-std() FrequencyBodyBodyfreqMeanFreq() FrequencyBodyBodyGyroJerk_MagnitudeMean() FrequencyBodyBodyGyroJerk_Magnitude-std() FrequencyBodyBodyGyroJerk_MagnitudeMeanFreq() NA
1 NA -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 -0.580162894375792 -0.391228161564121 -0.488074652257637 -0.39732624422928 -0.272417234574121 -0.471025510180922 0.419189414523343 0.291387598243516 0.57869983345245 -0.447862824369741 -0.817833275504323 -0.868582888263401 -0.810084107060519 -0.644456855585014 -0.568967356373228 -0.482946202789625 -0.0365021560682997 0.0119978297463977 -0.183984055858386 -0.155288480178098 0.184760549945187 -0.102987500446311 0.114308211720461 -0.0364532959878963 0.0507943075201153 0.144962177056196 -0.0198872924841499 0.015159402087464 0.0522041628935735 0.021503545715072 -0.132982874432248 -0.203503298779781 -0.140663320581729 0.196151041060519 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 -0.960843263371758 -0.952141805481268 -0.927662317685879 0.685625310654179 -0.0940767616887608 0.0809471901137464 0.755565907392795 -0.0701719489538905 0.0565659885294813 -0.0367570221189337 0.527750462829971 -0.705210404625072 -0.863346584158501 -0.963156464351585 -0.954967717455331 -0.933618187080692 -0.592114919964553 -0.866636481941499 -0.861511856859078 -0.47650683352536 0.521803532596542 -0.565939337069164 0.608935238550432 -0.275350282035735 0.278356300314121 -0.330518357544035 0.401203882945245 -0.401393783735158 0.419650751936888 -0.436879005993372 0.450524142651556 0.171824868512968 -0.167498098933141 0.146578594036311 0.0770930495126801
2 NA -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596 -0.639919016384106 -0.445338262615331 -0.594606120850662 -0.416420578870861 -0.275418067361589 -0.555696502761589 0.538656377546358 0.318318460882285 0.562573167028477 -0.529628436711921 -0.840523072980132 -0.879557611655629 -0.847662263278146 -0.722562962036424 -0.590041341054636 -0.626987517440397 -0.127386847614901 -0.0804409115324503 -0.143932743263212 -0.0234071015748344 0.0912011786905298 -0.0949577936180265 0.143357460992219 0.0113430073329801 0.0430372154178808 0.10722903416904 -0.0105897866226821 0.0481081102748344 0.0108255361380795 0.0465211738311258 -0.072892217110596 -0.186637683145695 -0.169618852403311 0.194535818751225 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 -0.945365383907285 -0.964058628278146 -0.961047176456954 -0.94699783089404 0.601271544172185 -0.158538574278146 0.138289525513245 0.674060965529801 -0.130323319807947 0.124046365743775 0.102866914538411 0.42822278089404 -0.651005101721854 -0.798176141781457 -0.966865982483444 -0.964185348145695 -0.952294350331126 -0.525358962092391 -0.961231091907285 -0.520609917642384 -0.476265582149007 0.515337384543046 -0.553767550870861 0.591606159208609 -0.279347467354967 0.267122710445695 -0.303072540634437 0.357967162651987 -0.421027781330132 0.447896282194371 -0.474093490237417 0.49697919939404 0.293306032431457 -0.0741719943708609 0.0691912329423841 0.0785353156747351
3 NA -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 -0.65376509042522 -0.488785606255718 -0.649033311199414 -0.4443462411261 -0.302140261428739 -0.596355164193548 0.531481667504985 0.358242863725367 0.630837525601173 -0.562589844666276 -0.85568299601173 -0.904452012463343 -0.901595177214076 -0.71944585058651 -0.604739504055719 -0.654924374143695 -0.0680340080715543 -0.0593208162140762 -0.11482503892522 -0.142724642072434 0.157514127422581 -0.0902556417754545 0.131896812657185 -0.0879713878797361 0.105369476678006 0.0913271923170381 -0.00852608200967742 -0.0740401061639296 0.0836290665301759 0.0439367115693842 -0.139945596200968 -0.193681127878446 -0.2262186405 0.156544326025806 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 -0.967122556070381 -0.945588863665689 -0.928644746334311 0.64650524568915 -0.036980483313783 0.0554612180214076 0.721778084809384 -0.016086882140176 0.0319191401343109 0.021561393374956 0.470926521057185 -0.625185177360704 -0.877382054105572 -0.968925172697947 -0.949312054046921 -0.934206083841642 -0.620120978782111 -0.847872156865103 -0.781166198486803 -0.493810200233138 0.533746394296481 -0.572813649038123 0.611054853571848 -0.341348046103871 0.334987544073255 -0.373285947292493 0.429147453185337 -0.475501635209384 0.494263606079179 -0.512425264038123 0.527303704369501 0.250571882460411 -0.0274413383469208 0.0152071986105572 0.0701731261988856
4 NA -0.0148081545344921 -0.107521430810726 -0.605211727785489 -0.509929384011325 -0.709492735962145 -0.635360700063407 -0.526101045697445 -0.703257427476341 -0.459450131033439 -0.27823594065552 -0.600998371952681 0.515024956477287 0.395015797552587 0.711234947066246 -0.578957880005994 -0.840810465018927 -0.917417242365931 -0.929176947129338 -0.689997581707256 -0.640857009545741 -0.713204519012618 -0.00418693194416404 -0.0487525091955836 -0.194791147813322 -0.132558727090852 0.169479898167823 -0.141780531941956 0.138864995587192 -0.0494223425205047 0.113311021834479 0.0376258641533123 0.0431115455275079 -0.00716880287681388 0.0449706776059937 -0.0434618190163091 -0.0395431975239748 -0.101111517690726 -0.089432559637224 0.0536488726544164 0.706593043123028 0.112591195496986 0.164130896618297 -0.962636979274448 -0.941416800167192 -0.941403426072555 -0.963924663123028 -0.942243368419558 -0.942726913769716 0.648488097962145 0.0974695644116719 0.167223772962145 0.720207393312303 0.118545742021735 0.151874410072555 -0.36002712889306 0.524694760063091 -0.66157235170347 -0.927201482208202 -0.967661044785489 -0.945716834258675 -0.947140747381704 -0.816338875530915 -0.854582180823344 -0.333854540404732 -0.469645888250473 0.506189607170347 -0.541716840830599 0.576272575632808 -0.296402406269716 0.286763587463407 -0.324651737893375 0.381382135756467 -0.524554030460568 0.541405588293375 -0.557654319258675 0.57054752903123 -0.0787564698807571 -0.419458923016404 0.128165440966877 0.0788637845151419
5 NA -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 -0.537623406579801 -0.424937693851325 -0.635704667196026 -0.376145829957616 -0.207047536694503 -0.589110798350993 0.45007940642649 0.336415672215563 0.62629625692053 -0.47788460870596 -0.751051251327152 -0.873786805264901 -0.901031949735099 -0.593892349048675 -0.575178299996689 -0.631187014975132 -0.00858310340976821 -0.0468653791225166 -0.112474167952848 -0.192381729093874 0.177541515263576 -0.0533248742139073 0.0865131951649669 -0.0580731491602649 0.0864457894826821 0.167500221396391 -0.0452953250949702 -0.0770826930847682 0.0967244864009934 0.0506528939152649 -0.209385103703974 -0.104839780834437 -0.139099290978245 0.183328842972351 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106 -0.965895466821192 -0.940653987218543 -0.943781204768212 0.639236726324503 0.0985090502677152 0.0957463967652318 0.712006124205298 0.119259080236563 0.0797859964731788 -0.499615238692053 0.533345902450331 -0.638779938609272 -0.959185352781457 -0.969028552549669 -0.942997329933775 -0.949377206258278 -0.82456298785596 -0.817221006440397 -0.561294734446689 -0.470476162371192 0.508771124009934 -0.545940231208609 0.582023378579801 -0.210633937536391 0.213552616553642 -0.270748106090066 0.348955705801325 -0.389686958937583 0.406294870188742 -0.421921262688742 0.434066382645695 0.00255019218112583 -0.262667718788344 0.119310090465795 0.0841019899622517
6 NA -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 -0.540118251305108 -0.395514397426154 -0.674839016569231 -0.344451076048923 -0.212445262262585 -0.576883291249231 0.427462183598769 0.282534472614154 0.613622803856 -0.480941055469846 -0.738697140396308 -0.854093671384615 -0.908105173538462 -0.616390698625846 -0.566693975347385 -0.688043361904615 -0.0707470696049231 -0.0189952273910769 -0.152465731317538 -0.168102093854154 0.177619909542338 -0.0301235075574462 0.0836559828899385 -0.0900331758864 0.0874170197966154 0.229978738453385 -0.135779333180308 0.0219830392809231 0.0532336704303077 0.0858980525064308 -0.176367270726462 -0.126558502648615 -0.246513669849846 0.112372982983877 0.688702063569231 0.0162055455953846 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.937910223507692 -0.959667484707692 -0.951859228861539 -0.938935432646154 0.631756335876923 0.00173659218307692 0.0531021496005169 0.701437287692308 0.0271521848569231 0.0351163873323662 -0.336792015408615 0.510531183323077 -0.597126175753846 -0.962766420769231 -0.961814964123077 -0.954778458153846 -0.943235337384615 -0.737285565840308 -0.918893231647077 -0.573168587756923 -0.404159864898462 0.450747925321846 -0.496294789735385 0.540817448172308 -0.183876693920431 0.184909833578154 -0.241878670401169 0.320489819424585 -0.318468803349846 0.339050520688738 -0.358975977476615 0.375847894276615 0.231825843940308 0.0519986327701538 0.17538089676 0.0813833604034769
7 NA -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981 -0.602693080815584 -0.570104252656169 -0.463887150084221 -0.4229271579 -0.348846664473052 -0.55470264698052 0.553352931266234 0.395843356140227 0.44594118732987 -0.50603718741211 -0.823076146071429 -0.926625718928571 -0.755711185061688 -0.67111344946526 -0.70179898025974 -0.524368312115042 -0.0872278932733766 -0.0760876246292208 -0.00951123045974026 -0.188167327884091 0.132835141975877 -0.0574241475924351 0.166010880625844 -0.0654467113491234 0.0524158594487013 0.150397422401136 -0.047606197925 -0.0964835395146104 0.100314826760714 0.00914211636272727 -0.065568199199026 -0.102072422787987 -0.329067720718831 0.282343572058539 0.681289120844156 -0.0420221452496753 0.0342160711928604 -0.956538178587662 -0.955312554090909 -0.923304724090909 -0.957590645532468 -0.956020659545455 -0.92460291038961 0.624080358957792 -0.054891862738961 0.0432944083109416 0.692334368993507 -0.027371828084026 0.0182738758205844 -0.211339534241234 0.493419396363636 -0.901388614698052 -0.620267166957792 -0.960874723308442 -0.95914598801948 -0.929479783214286 -0.698070976636364 -0.859744592302922 -0.703084700048701 -0.546004001425325 0.58824952675974 -0.629490194821429 0.669768274551948 -0.372617044186039 0.363062702267013 -0.395663321213799 0.444889034743506 -0.445250782437662 0.486140437142532 -0.526441596596753 0.563414440665584 0.209790930598571 -0.00534610799058442 0.155881847342857 0.0831829573168831
8 NA -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167 -0.608402968452313 -0.374858614010676 -0.499817116504626 -0.458383824263345 -0.198128211191068 -0.498257890410676 0.471685275863701 0.265669149795018 0.528647057594306 -0.466895421218149 -0.816005257224199 -0.832936178042705 -0.765522913793594 -0.652848493311744 -0.524877526491103 -0.535824971607117 -0.0682573214128114 -0.134982298582206 -0.143732745036655 -0.0900804005316726 0.0976977859498221 -0.0689634458633452 0.14030500760427 0.00581949560939502 -0.00295980339185054 0.174394743020996 -0.0178807386071103 0.0448233419547331 0.0167991065640569 0.0457100931795018 -0.0806901653379004 -0.065379908877758 -0.211720658913879 0.0724944851658363 0.647498175409253 0.0303211113118861 0.0836542406807936 -0.954256666035587 -0.94844645047331 -0.923180663601423 -0.954899550320285 -0.949613459384698 -0.924684193206406 0.591555335355872 0.017667582033452 0.0908967551843416 0.659439313024911 0.0413786078203559 0.0658534688708185 -0.0796161025860498 0.406199178790036 -0.765105529466192 -0.686093275195729 -0.957160033096085 -0.954166529078292 -0.931540697864769 -0.599167827673594 -0.830101249024911 -0.725032286830213 -0.549278275836299 0.58754665202847 -0.625323454697509 0.662672463558719 -0.333464413860818 0.313204455940107 -0.336945502862384 0.378378575264413 -0.401512582647544 0.43230276449726 -0.462461012540925 0.489362474324911 0.192033115045196 -0.171261920681851 0.00877554257366548 0.084215745375516
9 NA -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 -0.506111776081806 -0.585175212755556 -0.581992301567014 -0.499956158855139 -0.413249741433993 -0.305332138182292 -0.547845932083333 0.511255282418056 0.471525893135417 0.520373209975694 -0.507744814060069 -0.799754281774306 -0.938426428159722 -0.797355263545139 -0.656786396252187 -0.671451167535069 -0.52713869241875 -0.00969501642916667 -0.120812229065972 -0.0226297497642361 -0.243673420854861 0.160136958345486 0.0380598418390625 0.0804805530506944 -0.0755958865466667 0.018274565059375 0.175230553104514 0.0250155823381944 -0.118820987321354 0.0911470753329861 0.0370861027427083 -0.0267219547230208 -0.104215797987986 -0.265625276491319 0.0212079795342014 0.670845545555556 -0.0467446999509028 0.104353653032743 -0.958784666180556 -0.949938115208333 -0.920554317815972 -0.959551425659722 -0.951240639513889 -0.921847032229167 0.613698179270833 -0.0582706690319306 0.112577502752743 0.684042398576389 -0.0346887721770833 0.0866340220590625 -0.383766134317014 0.515609351038194 -0.953003848194444 -0.615731763055556 -0.961891714756944 -0.954830631631944 -0.926757245868056 -0.734369683628472 -0.660090265612153 -0.711773869798611 -0.503116858298958 0.557192314732639 -0.610482540034722 0.663003197638889 -0.458109724228125 0.452226082529861 -0.483108895607639 0.528532326447917 -0.502594532529861 0.542895926222222 -0.582851780013889 0.619601067979167 -0.158427497709375 0.00242441847986112 0.0873824099399306 0.0840171430291667
10 NA -0.017835790552415 -0.111301532185714 -0.537807711163265 -0.497405885644898 -0.614776952226361 -0.567943191105442 -0.514818223770068 -0.615910286459184 -0.38609455004932 -0.247374852335374 -0.48866044349932 0.433831845710884 0.411396453479252 0.625720021462585 -0.514379013746258 -0.77047853212585 -0.904520795 -0.860847910340136 -0.620852489881531 -0.642017926782313 -0.634036604293537 -0.0509602303557823 -0.157323778239116 -0.224507577067347 -0.0921934130806122 0.110414212920714 -0.0118642580646871 0.108540353685714 0.0521471301612109 -0.013596705307551 0.174106893308707 0.0225693443665306 0.124520511423282 -0.00994810073027211 0.0380974481332993 -0.095709215822381 -0.0939338879413265 -0.102112119703912 -0.0105053140642857 0.642905730306122 -0.0740248544557823 0.0552047227876769 -0.965808126428571 -0.95452407255102 -0.938706428064626 -0.966520191632653 -0.955408913707483 -0.940279125840136 0.582460807687075 -0.0861709332911565 0.0607289553683673 0.658050985544218 -0.0599717755952381 0.042669275582483 -0.289626207078571 0.425877250544218 -0.636681417959184 -0.84395656047619 -0.968299309659864 -0.95837289552381 -0.945710696904762 -0.749178586132653 -0.712083053346395 -0.471928104180612 -0.445785448159864 0.494202251632653 -0.541930961170068 0.588995646340136 -0.263785384282993 0.263258827950952 -0.312908847698503 0.381914939877551 -0.346076883783673 0.36736815347449 -0.387719949760884 0.404674369698299 -0.0571798299795918 -0.228465858607143 0.0424911581605442 0.0798108613061224
